genres,release_date,id,user_id,playtime_forever,title,sentiment_analysis
Indie,2006-11-29,4000,76561198085547365,11304,Garrys Mod,2.0
Action,2004-11-16,220,76561198061252210,1250,HalfLife 2,2.0
Action,2004-11-01,240,OfficialShroomsy,2,CounterStrike Source,0.0
Indie,2006-11-29,4000,76561198056147391,1537,Garrys Mod,1.0
Indie,2006-11-29,4000,8Bit-Ninja,6296,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198071500702,314,Garrys Mod,1.0
Action,2004-11-16,220,76561198099905030,875,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198047407223,3802,Garrys Mod,1.0
Indie,2006-11-29,4000,latiano,14577,Garrys Mod,1.0
Action,2004-11-16,220,kongtape,777,HalfLife 2,1.0
Action,2004-11-16,220,boydeer,0,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198100297613,430,Garrys Mod,1.0
Action,2004-11-01,240,VVillis,81,CounterStrike Source,1.0
Action,2011-05-16,105600,76561198083226897,12932,Terraria,0.0
Action,2011-04-18,620,76561198075277292,600,Portal 2,2.0
Indie,2006-11-29,4000,76561198094630961,30778,Garrys Mod,1.0
Action,2004-11-01,240,12549,468,CounterStrike Source,1.0
Casual,2006-08-30,3390,76561198028895010,198,Feeding Frenzy 2 Deluxe,2.0
Indie,2006-11-29,4000,76561198092411867,1919,Garrys Mod,1.0
Action,2010-03-23,8190,76561198170198366,115,Just Cause 2,2.0
Indie,2006-11-29,4000,diego9031,21928,Garrys Mod,1.0
Indie,2006-11-29,4000,iampiepiepie,530,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198079863506,384,Garrys Mod,1.0
Action,2000-11-01,10,jarrodtrim,337,CounterStrike,2.0
Indie,2006-11-29,4000,76561198078738103,303466,Garrys Mod,0.0
Indie,2008-02-15,12900,76561198068964564,176,AudioSurf,1.0
Indie,2006-11-29,4000,76561198067936203,1828,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198079770573,1696,Garrys Mod,1.0
Indie,2006-11-29,4000,UpTheAss,469,Garrys Mod,1.0
Action,2004-11-16,220,76561197977385164,0,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198075491015,7013,Garrys Mod,1.0
Action,2004-11-01,240,76561198087586464,13,CounterStrike Source,2.0
Action,2004-11-16,220,76561198086878953,1516,HalfLife 2,1.0
Indie,2006-11-29,4000,Derp-e,174,Garrys Mod,2.0
Action,2004-11-01,320,76561198070194565,2267,HalfLife 2 Deathmatch,1.0
Action,2004-11-01,320,Rivtex,3,HalfLife 2 Deathmatch,1.0
Action,2004-11-01,320,Rivtex,3,HalfLife 2 Deathmatch,1.0
Action,2004-11-16,220,firefreddy,93,HalfLife 2,1.0
Action,2000-11-01,10,UTNerd24,5,CounterStrike,1.0
Action,2006-07-11,2400,sandwiches1,374,The Ship Murder Party,1.0
Action,2011-04-18,620,76561198093083895,3123,Portal 2,1.0
Indie,2006-11-29,4000,76561198138053270,102731,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198062422084,1118,Garrys Mod,1.0
Indie,2006-11-29,4000,Life-Of-Blu,304,Garrys Mod,2.0
Action,2004-11-01,240,CaptianAutismo,3920,CounterStrike Source,2.0
Indie,2006-11-29,4000,maxgp,7648,Garrys Mod,1.0
Indie,2006-11-29,4000,AppaTheSwagBison,15589,Garrys Mod,1.0
Indie,2006-11-29,4000,knightboy991,9772,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198034678103,2545,Garrys Mod,1.0
Action,2004-11-01,240,76561198075895633,442,CounterStrike Source,2.0
Indie,2006-11-29,4000,TheDropix101,3818,Garrys Mod,2.0
Action,1998-11-08,70,kube134,4,HalfLife,2.0
Action,2004-11-16,220,iamthekingofbrowntown,904,HalfLife 2,1.0
Action,2004-06-01,280,gdxsd,285,HalfLife Source,1.0
Action,2006-03-14,1200,yookobz,0,Red Orchestra Ostfront 4145,2.0
Action,2004-11-16,220,Posiblydead,987,HalfLife 2,2.0
Action,2011-04-18,620,Mossy_Gaming,708,Portal 2,2.0
Indie,2006-11-29,4000,76561198093817084,8144,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198102421718,59192,Garrys Mod,1.0
Action,2004-11-01,240,76561198079045885,2867,CounterStrike Source,1.0
Indie,2006-11-29,4000,76561198087407319,21,Garrys Mod,0.0
Action,2005-06-06,12120,76561198074466513,36,Grand Theft Auto San Andreas,1.0
Indie,2006-11-29,4000,damo131,415,Garrys Mod,1.0
Indie,2006-11-29,4000,19702316748,1545,Garrys Mod,1.0
Action,2011-05-16,105600,FrystHjarte,15945,Terraria,1.0
Action,2008-10-20,17470,76561198056741844,12,Dead Space,1.0
Action,2004-11-01,240,sad-commie,10,CounterStrike Source,1.0
Action,1998-11-08,70,76561198030567998,21,HalfLife,2.0
Indie,2006-11-29,4000,Coldaniel,7727,Garrys Mod,2.0
Action,2004-11-01,240,therealmorty,13940,CounterStrike Source,1.0
Action,1998-11-08,70,itslonk,8,HalfLife,1.0
Action,2009-05-14,1250,DeDroidUreLookin4,250,Killing Floor,1.0
Indie,2006-11-29,4000,Berserklejerker,20913,Garrys Mod,1.0
Action,2004-11-01,240,76561198088799241,49,CounterStrike Source,1.0
Action,2004-11-01,240,76561198061730629,14,CounterStrike Source,2.0
Action,2007-11-07,2590,YoHuNz,0,Alpha Prime,1.0
Indie,2006-11-29,4000,possessioniskey,8531,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198072732874,2967,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198093112529,5080,Garrys Mod,1.0
Indie,2006-11-29,4000,sevqu,39,Garrys Mod,1.0
Indie,2006-11-29,4000,whiteofwolfing,36840,Garrys Mod,2.0
Action,1998-11-08,70,76561198056857968,451,HalfLife,1.0
Indie,2006-11-29,4000,sergarino,37016,Garrys Mod,1.0
Action,2004-11-01,320,PyroCreed,124,HalfLife 2 Deathmatch,1.0
Strategy,2008-10-28,17480,76561198052897627,277,Command amp Conquer Red Alert 3,1.0
Indie,2006-11-29,4000,76561198081962345,18539,Garrys Mod,2.0
Action,2008-11-17,500,76561198039266268,6,Left 4 Dead,1.0
Action,2004-11-01,240,76561198094224872,2150,CounterStrike Source,1.0
Action,2004-11-01,240,76561198094224872,2150,CounterStrike Source,2.0
Indie,2006-11-29,4000,76561198073210139,2050,Garrys Mod,0.0
Indie,2006-11-29,4000,Nozomikat,9972,Garrys Mod,1.0
Action,2004-11-01,240,76561198076933844,0,CounterStrike Source,1.0
Action,2004-11-01,240,76561198072186059,3,CounterStrike Source,1.0
Action,2000-11-01,10,xfluttersx,17,CounterStrike,2.0
Action,2011-10-20,24240,76561198068621601,40,PAYDAY The Heist,1.0
Action,2004-11-01,240,76561198056290589,1908,CounterStrike Source,2.0
Indie,2006-11-29,4000,ii_voltage_ii,6398,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198097762318,1838,Garrys Mod,0.0
Indie,2006-11-29,4000,Hirukaz,2466,Garrys Mod,0.0
Action,2004-11-01,240,StelerForYou,445,CounterStrike Source,2.0
Indie,2006-11-29,4000,76561198183396245,307,Garrys Mod,2.0
Action,2004-11-01,240,shinra420,6864,CounterStrike Source,1.0
Action,2010-07-12,300,Xx-Woods,150,Day of Defeat Source,2.0
Action,2004-11-01,240,kevinator23,1641,CounterStrike Source,1.0
Indie,2006-11-29,4000,tonyballoney,263,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198090715178,9098,Garrys Mod,2.0
Indie,2006-11-29,4000,Child_Vs_Puddle,1084,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198073784601,9129,Garrys Mod,1.0
Action,2003-05-01,30,mimimomoma,200,Day of Defeat,0.0
Indie,2006-11-29,4000,de_Butl3r,8263,Garrys Mod,0.0
Indie,2006-11-29,4000,76561198157999555,488,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198027947401,270,Garrys Mod,2.0
Action,2000-11-01,10,Bluezap1,0,CounterStrike,2.0
Action,2015-03-11,326460,76561198074200011,258,ShellShock Live,2.0
Action,1998-11-08,70,jonasdbomb,0,HalfLife,2.0
Indie,2006-11-29,4000,L1J1N,88,Garrys Mod,2.0
Action,2004-11-01,240,Lord_Exploit,50,CounterStrike Source,2.0
Action,2004-11-16,220,76561198079106676,270,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198092244787,2617,Garrys Mod,1.0
Indie,2006-11-29,4000,Sanctus94,392,Garrys Mod,1.0
Action,2000-11-01,10,76561197990792016,12108,CounterStrike,1.0
Action,2010-07-12,300,AVATAR715,1159,Day of Defeat Source,1.0
Indie,2006-11-29,4000,76561198073987767,196,Garrys Mod,1.0
Indie,2006-11-29,4000,Fluxxyz,3952,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198092150873,5478,Garrys Mod,1.0
Action,2011-05-16,105600,YieuwMage,2706,Terraria,2.0
Action,2000-11-01,10,Nfkted_CS,1410,CounterStrike,1.0
Indie,2006-11-29,4000,A-Very-Sly-Person,3092,Garrys Mod,1.0
Action,2000-11-01,10,76561197994493402,1037,CounterStrike,1.0
Strategy,2001-10-30,3910,76561198065656175,75,Sid Meiers Civilization III Complete,2.0
Indie,2006-11-29,4000,76561198188979775,2497,Garrys Mod,2.0
Action,2009-11-16,550,97396295,13226,Left 4 Dead 2,2.0
Action,2000-11-01,10,xoFushiox,4523,CounterStrike,1.0
Indie,2006-11-29,4000,76561198126640317,565,Garrys Mod,2.0
Indie,2006-11-29,4000,DemonicWolvz,3990,Garrys Mod,1.0
Strategy,2006-04-01,1900,DieMadchenschanderin,194,Earth 2160,1.0
Strategy,2006-04-01,1900,DieMadchenschanderin,194,Earth 2160,1.0
Action,2004-11-01,240,76561198072706529,290,CounterStrike Source,1.0
Action,2012-08-21,730,76561198215949741,38830,CounterStrike Global Offensive,1.0
Action,2004-11-16,220,GGargula,408,HalfLife 2,1.0
Action,2000-11-01,10,Myther43,50,CounterStrike,2.0
Indie,2006-11-29,4000,getf0kinn0sc0pedm9,19872,Garrys Mod,0.0
Strategy,2006-11-15,4700,76561198141443390,36,Medieval II Total War,2.0
Action,2010-10-19,22380,76561198031924053,38991,Fallout New Vegas,1.0
Indie,2006-11-29,4000,76561198097333029,219,Garrys Mod,0.0
Action,2009-11-16,550,whodafuqisthisguilao,462,Left 4 Dead 2,2.0
Indie,2006-11-29,4000,76561198072205329,1321,Garrys Mod,1.0
Indie,2006-11-29,4000,Icamebackbitches,55,Garrys Mod,1.0
Action,2004-11-01,240,Magjiikal,212,CounterStrike Source,2.0
Action,2000-11-01,10,ohnospaghet,332,CounterStrike,1.0
RPG,2009-04-09,23310,76561198050347115,0,The Last Remnant,2.0
Indie,2006-11-29,4000,2768820078,3370,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198049968536,80,Garrys Mod,1.0
Action,2009-03-19,29800,76561198056392326,356,Caster,1.0
Action,2010-07-12,300,2d4nk4m3,51,Day of Defeat Source,1.0
Action,2004-11-01,240,76561198074003102,4100,CounterStrike Source,1.0
Action,2000-11-01,10,76561198078478151,0,CounterStrike,1.0
Indie,2006-11-29,4000,exiaez,8509,Garrys Mod,1.0
Action,2004-11-16,220,BURNINGchicken3,298,HalfLife 2,1.0
Action,2004-11-01,240,76561198066835162,428,CounterStrike Source,1.0
Action,2011-12-06,113400,76561198069593452,669,APB Reloaded,1.0
Action,2004-11-01,240,undietaker,2979,CounterStrike Source,1.0
Strategy,2006-11-15,4700,76561198095921854,6460,Medieval II Total War,2.0
Indie,2006-11-29,4000,EizanAratoFujimaki,1926,Garrys Mod,0.0
Action,1999-11-01,50,POOTISSPENSOR,128,HalfLife Opposing Force,1.0
Indie,2006-11-29,4000,angorabug,14,Garrys Mod,1.0
Indie,2006-11-29,4000,TeCool,85,Garrys Mod,2.0
Action,2010-07-12,300,ZyhgarThestarweaver,4201,Day of Defeat Source,1.0
Indie,2006-11-29,4000,2xDelorean,4037,Garrys Mod,2.0
Action,1998-11-08,70,washington_,33,HalfLife,1.0
Action,2010-07-12,300,76561198088944293,1616,Day of Defeat Source,1.0
Action,2009-03-19,29800,76561198061769804,5,Caster,1.0
Action,2009-11-16,550,76561198051258119,1636,Left 4 Dead 2,2.0
Indie,2006-11-29,4000,nubquake123,1930,Garrys Mod,2.0
Action,2004-11-01,240,Pyromanic,94,CounterStrike Source,2.0
Indie,2006-11-29,4000,76561198109656922,25031,Garrys Mod,2.0
Action,2011-04-18,620,76561198149432604,6873,Portal 2,1.0
Strategy,2010-09-21,8930,Unplanned_stategy,14895,Sid Meiers Civilization V,1.0
Indie,2006-11-29,4000,CobRazor,98685,Garrys Mod,0.0
Indie,2006-11-29,4000,relesprit,687,Garrys Mod,2.0
Indie,2006-11-29,4000,relesprit,687,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198090294067,720,Garrys Mod,1.0
Indie,2006-11-29,4000,talove112345,9383,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198055094875,6502,Garrys Mod,1.0
Action,2004-11-01,240,WitchHunter4542,1208,CounterStrike Source,1.0
Action,2011-05-16,105600,76561198203244300,52344,Terraria,1.0
Indie,2006-11-29,4000,pwrt,1365,Garrys Mod,2.0
Indie,2006-11-29,4000,wantmahbody,984,Garrys Mod,2.0
Indie,2006-11-29,4000,wantmahbody,984,Garrys Mod,2.0
Strategy,2006-11-15,4700,76561198115868847,5813,Medieval II Total War,0.0
Action,2009-05-14,1250,benedictcuminherbatch,3825,Killing Floor,2.0
Strategy,2010-02-25,34030,76561198031207016,2384,Napoleon Total War,2.0
Indie,2006-11-29,4000,76561198043458582,15317,Garrys Mod,1.0
Indie,2006-11-29,4000,smashiroshh,1600,Garrys Mod,2.0
Indie,2006-11-29,4000,shark854,51,Garrys Mod,2.0
Action,2004-11-16,220,76561198062876401,361,HalfLife 2,1.0
Action,2000-11-01,10,76561198011661078,46,CounterStrike,1.0
Action,1998-11-08,70,PabloSanches,95,HalfLife,1.0
Indie,2006-11-29,4000,killbunny38,1832,Garrys Mod,1.0
Action,2004-11-01,240,76561198047630659,3343,CounterStrike Source,2.0
Action,2004-11-01,240,76561198047630659,3343,CounterStrike Source,2.0
Indie,2006-11-29,4000,76561198069713121,6370,Garrys Mod,1.0
Indie,2006-11-29,4000,1997-07-06_J077,17149,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198076248461,142,Garrys Mod,1.0
Action,2004-11-01,240,1337lolroflmao,3833,CounterStrike Source,1.0
Action,2011-05-16,105600,76561198080832419,4048,Terraria,1.0
Action,2010-07-12,300,76561198151645088,224,Day of Defeat Source,1.0
Action,2004-11-16,220,IAA_Recon_Dropbear,54,HalfLife 2,1.0
Indie,2006-11-29,4000,goonbagger,3715,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198060039459,37,Garrys Mod,1.0
Indie,2006-11-29,4000,OzfurAtlas,9716,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198065593074,64851,Garrys Mod,0.0
Indie,2006-11-29,4000,madmax64,21265,Garrys Mod,1.0
Action,2010-07-12,300,76561198044169764,84,Day of Defeat Source,1.0
Racing,2010-11-16,47870,euzi,831,Need For Speed Hot Pursuit,2.0
Indie,2006-11-29,4000,lucasrash,1464,Garrys Mod,1.0
Action,2012-08-21,730,76561198082845362,9628,CounterStrike Global Offensive,1.0
Indie,2006-11-29,4000,76561198087767019,2220,Garrys Mod,1.0
Indie,2006-11-29,4000,thisissohardtomakeoneup,21,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198087010391,23435,Garrys Mod,2.0
Action,1999-04-01,20,66666669999999,0,Team Fortress Classic,1.0
Action,2010-07-12,300,76561198061174192,69,Day of Defeat Source,2.0
Action,2003-05-06,8500,DoaFapbeforeaNap,75,EVE Online,1.0
Action,2004-11-01,240,ReMiXOfficalSteam,43,CounterStrike Source,2.0
Action,2004-11-01,240,Wilfire77,165,CounterStrike Source,2.0
Action,2004-11-16,220,76561198042730234,0,HalfLife 2,1.0
Action,2004-11-01,240,76561198086476445,1082,CounterStrike Source,1.0
Action,2004-11-01,240,76561198085016240,954,CounterStrike Source,1.0
Indie,2006-11-29,4000,76561198060808273,9325,Garrys Mod,1.0
Action,2009-11-12,10180,76561198084390807,1,Call of Duty Modern Warfare 2,2.0
Action,2000-11-01,10,76561198003688205,205234,CounterStrike,1.0
Action,1998-11-08,70,Mastic,339,HalfLife,1.0
Action,2004-11-16,220,Scooterinooo,418,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198028286104,311,Garrys Mod,2.0
Action,2000-11-01,10,76561198088447673,1515,CounterStrike,1.0
Action,2004-11-01,240,tarjla,3229,CounterStrike Source,2.0
Action,2000-11-01,10,deathnz1,49,CounterStrike,1.0
Indie,2006-11-29,4000,readingthis4noobs,17240,Garrys Mod,2.0
Action,2004-11-01,240,SonicMCGamer,607,CounterStrike Source,1.0
Action,2013-04-16,104900,xXBoss1Xx,864,ORION Prelude,1.0
Indie,2006-11-29,4000,76561198084698198,44302,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198104393251,12880,Garrys Mod,1.0
Action,2000-11-01,10,Borne901,1352,CounterStrike,1.0
Indie,2006-11-29,4000,redsncrimson,4333,Garrys Mod,2.0
Strategy,2004-09-22,4760,76561198151910904,14,Rome Total War  Collection,2.0
Action,2004-11-16,220,H1DD3NT3RR0R,327,HalfLife 2,1.0
Action,2004-11-01,240,76561198071214618,685,CounterStrike Source,2.0
Action,2004-11-01,240,76561198115115631,527,CounterStrike Source,2.0
Action,2006-05-30,6860,sisiiik,2233,Hitman Blood Money,1.0
Indie,2006-11-29,4000,76561198071175142,1440,Garrys Mod,2.0
Action,2009-11-12,10180,t8s,67,Call of Duty Modern Warfare 2,1.0
Indie,2006-11-29,4000,pikawuu2,2711,Garrys Mod,1.0
Indie,2006-11-29,4000,Sammeh00,10499,Garrys Mod,2.0
Action,2004-11-01,240,godlike_bot,53,CounterStrike Source,1.0
Indie,2006-11-29,4000,dpswaffles,2947,Garrys Mod,1.0
Action,2007-11-13,17300,NoObFiGHtEr,77,Crysis,1.0
Action,2004-11-01,240,Michaelele,0,CounterStrike Source,1.0
Action,2004-11-01,240,76561198045754869,375,CounterStrike Source,0.0
Action,2004-11-01,240,76561198076098774,412,CounterStrike Source,2.0
Indie,2006-11-29,4000,76561198074963071,55,Garrys Mod,1.0
Action,2004-11-16,220,76561198048417105,438,HalfLife 2,2.0
Action,2004-11-01,240,76561197989175394,6964,CounterStrike Source,1.0
Indie,2006-11-29,4000,76561198090842891,14499,Garrys Mod,2.0
Action,2003-10-29,2620,76561198058706736,0,Call of Duty,1.0
Action,2004-11-01,240,76561198055767971,2,CounterStrike Source,0.0
Indie,2006-11-29,4000,76561197998052647,2420,Garrys Mod,0.0
Action,2010-07-12,300,adohya343,0,Day of Defeat Source,1.0
Indie,2006-11-29,4000,76561198145436942,10473,Garrys Mod,2.0
Action,2004-11-16,220,3xotic26,110,HalfLife 2,2.0
Action,2010-07-12,300,iamthetrashlord,97,Day of Defeat Source,2.0
Indie,2006-11-29,4000,nothingheretrustme,4296,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198071253729,1118,Garrys Mod,1.0
Indie,2006-11-29,4000,3dster,198,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198041808338,8103,Garrys Mod,1.0
Action,2004-11-16,220,76561198016685643,560,HalfLife 2,1.0
Action,2004-11-01,240,76561198079990063,2,CounterStrike Source,2.0
Indie,2006-11-29,4000,Forty-Nine,8780,Garrys Mod,1.0
Action,2007-10-10,400,76561198051017916,412,Portal,1.0
Action,2004-11-01,240,L4M1NAS,463,CounterStrike Source,2.0
Action,2004-11-01,240,L4M1NAS,463,CounterStrike Source,2.0
Indie,2006-11-29,4000,emurphy8,219,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198096766604,1800,Garrys Mod,0.0
Indie,2006-11-29,4000,Sephirical,26,Garrys Mod,1.0
Action,2004-11-16,220,76561197995322437,213,HalfLife 2,2.0
Action,2010-07-12,300,imsojipper,16,Day of Defeat Source,2.0
Indie,2006-11-29,4000,76561198096220900,402,Garrys Mod,1.0
Action,2004-11-16,220,76561198084542731,178,HalfLife 2,2.0
Action,2004-11-01,240,fullswag0to100realquick,3395,CounterStrike Source,1.0
Action,2016-07-27,338170,76561198102121026,37,Ratz Instagib,1.0
Indie,2006-11-29,4000,76561198103671881,194,Garrys Mod,2.0
Action,2000-11-01,10,mrpfresh,148,CounterStrike,0.0
Action,2000-11-01,10,GamerFag,125,CounterStrike,2.0
Action,2004-11-16,220,76561197970628046,655,HalfLife 2,1.0
Strategy,2001-10-30,3910,76561198013858002,103,Sid Meiers Civilization III Complete,1.0
Action,2004-11-01,240,76561198058570014,2953,CounterStrike Source,1.0
Action,2004-11-16,220,76561198045133986,1297,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198002820828,5432,Garrys Mod,1.0
Action,2000-11-01,10,chidori_647,0,CounterStrike,0.0
Action,2000-11-01,10,76561198092227136,0,CounterStrike,2.0
Indie,2006-11-29,4000,hellcat59,11658,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198007584361,1041,Garrys Mod,2.0
RPG,2005-07-11,3920,tbimperator,303,Sid Meiers Pirates,2.0
Indie,2006-11-29,4000,Allahu_Akbar666,32709,Garrys Mod,1.0
Action,2004-11-16,220,ulramite,13,HalfLife 2,1.0
Action,2004-11-01,240,76561198080534850,0,CounterStrike Source,1.0
Action,2000-11-01,10,-GM-Dragon,14,CounterStrike,1.0
Indie,2006-11-29,4000,LeoRocksAce,255,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198054040292,6508,Garrys Mod,0.0
Indie,2006-11-29,4000,76561198155458511,21031,Garrys Mod,1.0
Indie,2006-11-29,4000,I_DID_911_JUST_SAYING,2349,Garrys Mod,1.0
Action,2011-05-16,105600,76561198077035732,2078,Terraria,1.0
Indie,2006-11-29,4000,76561198072625764,163,Garrys Mod,1.0
Action,2011-05-16,105600,A_Je_100,37608,Terraria,1.0
Simulation,2008-12-19,17390,imagoatieatpoo,2031,SPORE,1.0
Adventure,1997-12-12,15700,750805,176,Oddworld Abes Oddysee,1.0
Indie,2006-11-29,4000,76561198080881726,155,Garrys Mod,1.0
Action,2004-11-01,240,Thatishayden,252,CounterStrike Source,1.0
Indie,2006-11-29,4000,Flabbernackle,1826,Garrys Mod,1.0
Action,2010-07-12,300,diabeticfuck,5,Day of Defeat Source,1.0
Action,2013-12-05,109600,magicalpony,0,Neverwinter,1.0
Action,2000-11-01,10,76561197962104795,164,CounterStrike,1.0
Indie,2006-11-29,4000,76561198054465623,7556,Garrys Mod,1.0
Indie,2006-09-29,1520,76561198074257942,39,DEFCON,1.0
Indie,2006-11-29,4000,aaropro,4239,Garrys Mod,2.0
Action,2000-11-01,10,Aaron_ggf,1,CounterStrike,1.0
Indie,2006-11-29,4000,abiam,453,Garrys Mod,1.0
RPG,2007-09-11,22330,76561198037346576,375,The Elder Scrolls IV Oblivion Game of the Year Edition,1.0
Indie,2006-11-29,4000,FrankoWalker,326,Garrys Mod,1.0
Action,1999-04-01,20,LightfootSword7,25,Team Fortress Classic,1.0
Indie,2006-11-29,4000,DaDanMan,610,Garrys Mod,1.0
Indie,2006-11-29,4000,SALTTHEW0UND,6404,Garrys Mod,2.0
Action,2004-11-16,220,express157,243,HalfLife 2,2.0
Action,2004-11-01,240,76561198074644990,921,CounterStrike Source,1.0
Indie,2006-11-29,4000,76561198064304806,2172,Garrys Mod,0.0
Action,2004-11-01,240,3456457568,1465,CounterStrike Source,1.0
Indie,2006-11-29,4000,TomoeMamiewe,956,Garrys Mod,1.0
Indie,2006-11-29,4000,76561198057086148,35848,Garrys Mod,0.0
Indie,2006-11-29,4000,Acidius99,325,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198067150343,741,Garrys Mod,1.0
Action,2004-11-01,240,acorn13,1050,CounterStrike Source,1.0
Action,2004-11-01,240,adamcookie,19,CounterStrike Source,2.0
Action,2004-11-01,320,AddzyTheBaddzy,20,HalfLife 2 Deathmatch,2.0
Action,2006-07-11,2400,76561197997824340,119,The Ship Murder Party,1.0
Indie,2006-11-29,4000,76561198076154360,714,Garrys Mod,1.0
Action,2009-11-16,550,76561198055524901,792,Left 4 Dead 2,1.0
Action,2004-11-16,220,mradobe7,109,HalfLife 2,0.0
Action,2005-04-19,3830,zomboy151,0,Psychonauts,1.0
Indie,2006-11-29,4000,76561198167207237,25766,Garrys Mod,1.0
