user_id,steam_id,playtime_forever,id
magicalpony,76561198248835684,0,109600
76561197962104795,76561197962104795,164,10
76561198054465623,76561198054465623,7556,4000
76561198074257942,76561198074257942,39,1520
aaropro,76561198084687167,4239,4000
Aaron_ggf,76561197975146915,1,10
76561198074324939,76561198074324939,0,0
abhorence,76561197994852170,0,0
abiam,76561198057005123,453,4000
76561198037346576,76561198037346576,375,22330
FrankoWalker,76561198119635144,326,4000
LightfootSword7,76561198052108889,25,20
DaDanMan,76561198044300314,610,4000
SALTTHEW0UND,76561198087436922,6404,4000
abuffalostuckinatree,76561198037257505,0,0
express157,76561198065500375,243,220
76561198070215484,76561198070215484,0,0
76561198074644990,76561198074644990,921,240
76561198064304806,76561198064304806,2172,4000
3456457568,76561198069126647,1465,240
76561198045776691,76561198045776691,0,0
TomoeMamiewe,76561198044661522,956,4000
76561198057086148,76561198057086148,35848,4000
Acidius99,76561198103673180,325,4000
76561198067150343,76561198067150343,741,4000
acorn13,76561198001612399,1050,240
adamcookie,76561198049455674,19,240
AddzyTheBaddzy,76561198091378873,20,320
mrfunkyjunkie,76561198035060604,0,0
76561197997824340,76561197997824340,119,2400
76561198076154360,76561198076154360,714,4000
76561198055524901,76561198055524901,792,550
mradobe7,76561198060344583,109,220
zomboy151,76561198081816492,0,3830
76561198167207237,76561198167207237,25766,4000
cancerkek,76561198042686759,0,2590
matto1499,76561198050553065,419,240
76561198073508075,76561198073508075,9730,4000
76561198074323290,76561198074323290,0,0
76561198090899557,76561198090899557,1503,4000
76561198072468669,76561198072468669,1004,550
Advancebest,76561198053319942,354,240
advenger95,76561198029864696,339,70
EndAtHallow,76561198055363234,25547,4000
76561198060820384,76561198060820384,0,4000
76561198063624801,76561198063624801,2114,240
aeryal,76561198107138336,397,4000
vault_brothers,76561198170477598,1272,4000
After2night,76561198085732302,4666,4000
76561198029090446,76561198029090446,1947,220
76561197968819541,76561197968819541,233,10
76561198070263209,76561198070263209,0,0
76561198015968275,76561198015968275,772,4000
defender_10,76561198052049909,11788,4000
76561198006540520,76561198006540520,0,0
Agiegamma,76561198085624670,698,220
76561198082614708,76561198082614708,1166,4000
76561198066465411,76561198066465411,3274,4000
Agronoth,76561198054531989,1305,4000
UnholyFallenAngel,76561198097012821,5193,240
Ricardio556,76561198069056938,344,220
madgamerzzz,76561198047923966,14907,4000
76561198068565589,76561198068565589,32910,4000
SlutOnTheSpit,76561198031629115,533,4000
76561197974897475,76561197974897475,0,0
WestyGaming,76561198031955420,1934,10
76561198031278382,76561198031278382,0,0
NaruseAiria,76561198076727678,87,220
airro,76561198017238367,0,0
76561198265081359,76561198265081359,1441,105600
RemixEbola,76561198065907945,0,0
76561198046844795,76561198046844795,7174,240
76561198067713802,76561198067713802,12,320
76561198187212131,76561198187212131,20,4000
76561198044678148,76561198044678148,0,0
rjh91,76561198069258468,173,4000
Alex680,76561198088142152,0,0
alansiulun,76561198068368825,158,12120
whitewolfang1,76561198053689884,0,0
Albolah,76561198127777505,889,4000
76561198003056556,76561198003056556,0,70
76561198063941075,76561198063941075,354,220
76561198088886304,76561198088886304,0,19900
maxpaynepillkiller,76561198094996791,0,3830
AlexNoClutch,76561198066501403,0,0
Alexwai04,76561198081216764,0,0
76561198056092813,76561198056092813,340,240
76561198095481910,76561198095481910,852,1250
76561198060059014,76561198060059014,0,0
76561198089024454,76561198089024454,23,240
76561198034129825,76561198034129825,2718,320
76561197994664479,76561197994664479,0,0
76561198164545985,76561198164545985,233,291210
tninjat,76561198060102025,218,240
76561198068935240,76561198068935240,4,6910
76561198091368975,76561198091368975,0,0
76561198036955150,76561198036955150,5324,240
76561198018840908,76561198018840908,0,240
AlkalineDeath,76561198040467599,458,2600
76561198075935236,76561198075935236,155,220
Vigilante8,76561197994751966,0,0
Jupeter117,76561198080703915,7747,4000
gsgg,76561198057524205,219,220
76561198075258452,76561198075258452,24,240
Jesusunholy,76561198062009245,81,4000
mintifreshbadger,76561198113948502,74,300
HenryCT,76561198048914936,47,253530
AlpacaRevolution,76561198064165439,724,4000
76561197996305896,76561197996305896,1388,4000
AlphaBryn444,76561198109133095,16518,4000
76561198071952798,76561198071952798,0,0
76561198009001563,76561198009001563,715,240
76561198016753953,76561198016753953,37212,4000
smegmyfoodle,76561198044281309,41,4000
76561198141882120,76561198141882120,0,0
altas2011,76561198127762021,1095,4000
silentbroadcaster,76561198047925260,1493,4000
76561198057869849,76561198057869849,539,240
76561198058836921,76561198058836921,0,0
lol_ursuchanoob,76561198055479817,1789,240
rhysf,76561198003694107,22786,240
76561198098156489,76561198098156489,1579,4000
AMLN,76561198068802744,0,0
76561198040021446,76561198040021446,1451,1250
ShadowBall4011,76561198094660755,0,0
76561198035890730,76561198035890730,4979,4000
AMV72,76561197971372464,20,10
76561198069170979,76561198069170979,59,240
76561198085956238,76561198085956238,87,70
76561198132540690,76561198132540690,70,2500
711armageddoncarmageddon,76561198087759807,245,240
76561198058301224,76561198058301224,22,1900
76561198055326484,76561198055326484,0,20
76561198034868596,76561198034868596,899,240
AncientBlade,76561198094461173,3774,17480
Andraison,76561198067449201,83,10
76561198048401235,76561198048401235,46,220
76561198055790408,76561198055790408,0,0
76561198050465176,76561198050465176,0,220
76561198026258913,76561198026258913,13718,4000
76561198069560699,76561198069560699,2,240
76561198099625419,76561198099625419,1057,220
someone6245,76561198013091048,1,70
76561198084032274,76561198084032274,26757,4000
76561198030772859,76561198030772859,15979,4000
Angrovar,76561198060146226,1160,4000
AngryAinsley,76561198131002806,160488,4000
76561198069005048,76561198069005048,253,1250
-AnimeIsMyThing-,76561198074664792,6119,240
uradumbtit,76561198064433302,133,70
76561198037038784,76561198037038784,1426,3830
IKillNoobsFirst,76561198046317409,1598,240
76561198037888300,76561198037888300,70,15620
operationblueberry,76561198080548524,747,4000
1234865654,76561198086384812,362,20
76561198040925596,76561198040925596,0,0
antacy,76561198091761253,102,4000
76561197992148038,76561197992148038,0,320
76561198084123358,76561198084123358,0,205790
76561198034942509,76561198034942509,42,30
76561198032377745,76561198032377745,26884,4000
capitaomurilao,76561198053619146,3932,4000
Apachehavoc,76561198056692523,844,4000
ApexNZ,76561198075053271,4663,4000
76561198039441595,76561198039441595,2,10
76561198036687918,76561198036687918,1100,240
Apollopepsi,76561198070628567,11558,4000
benjamin27,76561198083557617,222,220
AppoGetsSuperAdmin,76561198052921535,72764,4000
ARRIVE,76561198107355391,39,4000
76561198071475367,76561198071475367,1345,4000
r3ap3r78,76561198011684252,5811,240
Aquilares,76561198005934962,0,300
76561198049916759,76561198049916759,0,0
76561198065064829,76561198065064829,2381,10500
XABLAUziitu,76561198031162085,89,400
76561198012909706,76561198012909706,1525,220
aarcanicuss,76561198056946489,1173,47810
dragonchief,76561198011336251,3255,240
76561198040530605,76561198040530605,32358,4000
76561198060989765,76561198060989765,0,0
76561197974500703,76561197974500703,1791,220
76561198047185525,76561198047185525,924,240
mestuajix2,76561198097707197,304,43110
76561198067188826,76561198067188826,50,4000
ArcticTek,76561198061147800,96,240
76561197974465310,76561197974465310,0,220
sweep6060,76561198067808950,860,220
76561198090279813,76561198090279813,0,0
bilyitu,76561198082360492,0,29800
76561198021244661,76561198021244661,0,0
76561198088538797,76561198088538797,1168,240
76561198089844789,76561198089844789,258,240
76561198072861800,76561198072861800,244,4000
deployablearchnagel,76561198071483936,3535,4700
rotflmaoman,76561198045715119,136,1520
76561198088670023,76561198088670023,108,240
76561198081028176,76561198081028176,1286,3830
76561198093106303,76561198093106303,0,0
ArmouredForBattle,76561198325896496,283,108800
armouredmarshmallow,76561198104386187,36243,4000
darrenfordfalcon,76561198057323866,5311,4000
76561198020928326,76561198020928326,5599,70
76561198045570160,76561198045570160,8029,4000
arockstar28,76561198083884120,7309,4000
Array71,76561198039667033,141,240
alexms69,76561198204406408,0,0
76561198039874575,76561198039874575,39802,4000
arronlim13,76561198089824807,1,320
76561198042389215,76561198042389215,0,4700
76561198006534186,76561198006534186,0,9480
artej96,76561198102226879,84,4000
ARTHERDUNGER10,76561198066630066,210,300
Mackus1011,76561198074783119,823,240
76561198041877981,76561198041877981,8084,4000
ARZARNAR,76561198059173677,471,300
76561198089950447,76561198089950447,6074,4000
sontersaurus,76561198080132669,0,0
darkmassieh,76561198054496878,0,10
Boomblasty,76561198096088167,0,205790
asianturtlefrenzy,76561198100436187,261,4000
Edmund28,76561198063903340,2179,4000
blowjobsfurdayzandgayz,76561198090520850,4863,4000
76561198082992295,76561198082992295,3625,4000
LaLocaDeLosDulces,76561198027993240,47719,10
76561198096064761,76561198096064761,41054,105600
76561198064352761,76561198064352761,604,4000
assassin_warman,76561198027176626,834,220
76561198019431054,76561198019431054,8,4560
Astrelt,76561198056770012,1,240
bakhtiar93tiarstudio,76561198050693553,0,0
bobjimmy007,76561198078867478,184,1670
76561198091740831,76561198091740831,13047,4000
76561198095380303,76561198095380303,7,9760
AtomicWoodchuck,76561197970409140,0,0
76561198050251204,76561198050251204,0,0
76561198052003136,76561198052003136,265,4760
omgihaveawebpage,76561198072886602,0,10
Swish0009,76561198044571371,1366,240
76561198030943851,76561198030943851,0,240
Aurora99,76561198060037470,1170,4000
76561198053071988,76561198053071988,224,3920
minionking,76561198049650023,610,4000
76561198083375450,76561198083375450,18,1700
scroopy22,76561198007437864,0,70
76561198078730600,76561198078730600,0,0
76561198076984454,76561198076984454,32,4000
76561198091054851,76561198091054851,65,240
iDestrix,76561198096240087,7,10
auzmoz,76561197999326884,143168,320
auzzie_96,76561198150875994,0,70
76561198009353440,76561198009353440,340,300
76561198082020576,76561198082020576,99,220
fatrangacuntnolifevirgin,76561198088436468,456,4000
helvisavillon,76561198074228269,0,205790
76561198080015704,76561198080015704,3722,4000
76561198040602004,76561198040602004,8574,240
76561198082959786,76561198082959786,213,31280
76561198064150679,76561198064150679,7099,240
76561198110293299,76561198110293299,3011,4000
cam5699,76561198026500891,0,240
de_triggered,76561198075881644,187008,4000
76561198071748311,76561198071748311,101,4000
76561198045888087,76561198045888087,0,0
azzydazzy,76561198048639345,2786,4000
76561198048900256,76561198048900256,6417,4000
76561198000392178,76561198000392178,0,0
Azrafael,76561197964215262,0,10
-Azsael-,76561197997534851,1456,2100
76561198076301023,76561198076301023,942,4000
arewefaded,76561198038664557,2536,4000
wolfhunter,76561198012828735,0,0
76561198065247809,76561198065247809,1484,17300
76561198046512409,76561198046512409,0,0
76561198086081043,76561198086081043,905,240
hoarbiscuit,76561198064199288,724,10
bohgeraltofrivia,76561198045742150,9075,4000
TeH-B-Rad,76561198066255404,6640,4000
BAW_Killer,76561197962403792,46,10
moriceplease,76561197974106883,0,220
gamerdude7892,76561198072107662,32,4000
76561197970168558,76561197970168558,43,10
Arsenal_,76561198062362368,0,0
timothyshen,76561198071797390,356,4000
76561198227794828,76561198227794828,361,4000
2ez4medick,76561198083985672,767,4000
76561198118595651,76561198118595651,850,4000
BBBirb,76561198107930572,147,240
AgentXiri,76561198044742654,50,107200
76561198018950738,76561198018950738,655,220
76561197998761331,76561197998761331,0,0
hamfritta,76561198004968304,1,3300
76561198064579722,76561198064579722,5897,4000
76561198096750939,76561198096750939,0,0
potatoskins,76561198043890597,32,4000
crispymemesmantheyremyfavourite,76561198091215848,3232,4000
76561198044593618,76561198044593618,14108,550
76561198074409406,76561198074409406,700,240
76561198051433041,76561198051433041,0,0
76561198156282807,76561198156282807,0,0
76561198049617612,76561198049617612,1,2600
H-Alo,76561198033993807,496,3920
76561198042365104,76561198042365104,0,0
76561198075444114,76561198075444114,164,240
420Blz,76561198005849033,412,240
76561198076548816,76561198076548816,7335,240
76561198026741163,76561198026741163,0,0
76561198075039895,76561198075039895,1186,4760
chillrend,76561198084316222,2369,4000
76561198218877443,76561198218877443,1811,273110
76561198070149038,76561198070149038,0,550
76561197994407780,76561197994407780,661,240
76561198035548591,76561198035548591,4439,4000
