genres,title,release_date,price,id,developer
Adventure,Oddworld: Abe's Oddysee®,1997-12-12,2.99,15700,Oddworld Inhabitants
Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,8660,SimBin
Strategy,X-COM: Enforcer,2001-04-19,4.99,7770,"MicroProse Software, Inc"
Strategy,X-COM: Apocalypse,1997-07-15,4.99,7660,"MicroProse Software, Inc"
Strategy,X-COM: UFO Defense,1993-12-31,4.99,7760,"MicroProse Software, Inc"
"Action, RPG",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510,GSC Game World
Action,Crysis Warhead®,2008-09-17,19.99,17330,Crytek
Action,Crysis,2007-11-13,19.99,17300,Crytek
Strategy,X-COM: Interceptor,1998-06-15,4.99,7730,"MicroProse Software, Inc"
"Action, RPG",The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,20900,CD PROJEKT RED
Indie,Multiwinia,2008-09-19,9.99,1530,Introversion Software
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,2.99,8690,SimBin
"Strategy, Simulation",Children of the Nile: Alexandria,2008-08-28,2.49,17120,"Tilted Mill Entertainment, Inc."
Strategy,Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,16810,Firaxis Games
Action,Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
"Action, Adventure",LEGO Batman,2008-09-29,19.99,21000,Traveller's Tales
"Simulation, Strategy",City Life 2008,2008-07-18,9.99,4460,Monte Cristo
"RPG, Strategy",Hinterland,2008-09-30,9.99,17140,"Tilted Mill Entertainment, Inc."
Action,Brothers in Arms: Hell's Highway™,2008-10-08,9.99,15390,Gearbox Software
"Indie, Casual",Gravitron 2,2008-08-31,4.99,21300,Dark Castle Software
Racing,Xpand Rally Xtreme,2006-12-01,4.99,3050,Techland
Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,9.99,15380,Nival
Action,Brothers in Arms: Earned in Blood™,2005-10-04,9.99,19800,Gearbox Software
Strategy,Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,9.99,15370,Nival
Strategy,The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19.99,19930,Blue Byte
Casual,Brain Spa,2007-09-25,9.99,15350,Ubisoft
Action,The Sum of All Fears,2002-05-31,9.99,19810,Red Storm Entertainment
Casual,Peggle™ Nights,2008-10-15,4.99,3540,"PopCap Games, Inc."
Indie,World of Goo,2008-10-13,9.99,22000,2D BOY
"Action, Simulation, Strategy",X3: Terran Conflict,2008-10-16,15.99,2820,Egosoft
Action,Mare Nostrum,2008-10-17,Free,1230,Sandstorm Productions
"Casual, Indie",Spectraball,2008-10-20,4.99,18300,Shorebound Studios
"Indie, Casual, Sports",Galactic Bowling,2008-10-21,19.99,20200,Perpetual FX Creative
"Action, Adventure",Bully: Scholarship Edition,2008-10-21,14.99,12200,Rockstar New England
Action,Far Cry® 2: Fortune's Edition,2008-10-22,9.99,19900,Ubisoft Montreal
"Action, Indie, Strategy",Space Trader: Merchant Marine,2008-10-23,4.99,11240,Meridian4
Simulation,PRR Wagon Pack 01,2009-01-01,4.99,256522,RailSimulator.com
Simulation,"Class 421 London South East ""Jaffa Cake""",2009-01-01,4.99,275144,RailSimulator.com
Simulation,ATSF Wagon Pack 01,2009-01-01,4.99,256521,RailSimulator.com
Simulation,GP20 Union Pacific Add-on Livery,2009-01-01,4.99,222569,Reppo
Simulation,UK Van Wagon Pack,2009-01-01,4.99,256535,RailSimulator.com
Simulation,CSX SD70MAC Add-on Livery,2009-01-01,4.99,256611,Dovetail Games
Simulation,CSX ES44AC Add-on Livery,2009-01-01,4.99,256576,Dovetail Games
Action,Saints Row 2,2009-01-28,9.99,9480,Volition
Action,Dead Space,2008-10-20,19.99,17470,EA Redwood Shores
RPG,Rise of the Argonauts,2008-12-16,9.99,12770,Liquid Entertainment
"Action, Adventure",Mirror's Edge™,2009-01-13,19.99,17410,DICE
"Indie, Strategy",Defense Grid: The Awakening,2008-12-08,9.99,18500,Hidden Path Entertainment
Action,F.E.A.R. 2: Project Origin,2009-02-12,14.99,16450,Monolith
"Strategy, Indie",Harvest: Massive Encounter,2008-03-05,7.99,15400,Oxeye Game Studio
"Indie, Strategy",Mayhem Intergalactic,2007-07-04,9.99,18600,Inventive Dingo
"Action, Indie",Larva Mortus,2009-03-19,4.99,11340,Meridian4
Strategy,Knights of Honor,2005-05-10,9.99,25830,Black Sea Studios Ltd
"Action, Adventure, Strategy",Ceville,2009-02-27,5.99,23460,Realmforge Studios
Strategy,Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Action,Watchmen: The End is Nigh,2009-03-04,4.99,21010,Deadline Games
"Action, Adventure, Indie",Penumbra Overture,2007-03-30,9.99,22180,Frictional Games
Action,Unreal Tournament 3 Black,2007-11-19,19.99,13210,"Epic Games, Inc."
RPG,Drakensang,2009-02-27,9.99,12640,Radon Labs
"Indie, Simulation",The Graveyard,2008-03-21,4.99,27020,Tale of Tales
Racing,Burnout Paradise: The Ultimate Box,2009-02-03,19.99,24740,Criterion Games
"Action, Indie",The Maw,2009-03-09,9.99,26000,Twisted Pixel Games
"Action, Indie",The Maw: River Redirect,2009-03-16,1.25,26006,Twisted Pixel Games
"Action, Indie",The Maw: Brute Force,2009-03-16,1.25,26005,Twisted Pixel Games
"Casual, Indie",Obulis,2009-03-19,4.99,11330,IonFX
Indie,Space Giraffe,2009-03-19,9.99,27800,Llamasoft LTD
"Simulation, Strategy",Codename: Panzers - Cold War,2009-03-10,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
Casual,Escape Rosecliff Island,2009-04-15,4.99,3600,SpinTop Games
"RPG, Massively Multiplayer",Guild Wars Nightfall®,2006-10-27,19.99,29580,ArenaNet®
"RPG, Massively Multiplayer",Guild Wars® Game of the Year Edition,2005-04-28,19.99,29540,ArenaNet®
"RPG, Massively Multiplayer",Guild Wars Factions®,2006-04-28,19.99,29560,ArenaNet®
"Massively Multiplayer, RPG",Guild Wars Trilogy,2008-09-25,29.99,29570,ArenaNet®
Casual,Puzzle Kingdoms,2009-04-16,14.99,23700,Infinite Interactive
Casual,Samantha Swift and the Golden Touch,2009-04-29,9.99,16060,MumboJumbo
RPG,Two Worlds Epic Edition,2009-04-30,9.99,1930,Reality Pump Studios
Strategy,Helldorado,2009-04-30,9.99,18470,Spellbound
"Action, Adventure, RPG",X-Blades,2009-02-10,9.99,7510,Gaijin Entertainment
"Action, Indie",Zeno Clash,2009-04-21,9.99,22200,ACE Team
Indie,The Maw: Speeder Lane,2009-04-29,1.25,26007,Twisted Pixel Games
"RPG, Strategy",King's Bounty: The Legend,2008-09-23,6.99,25900,1C Company
"Casual, Simulation",Virtual Families,2009-05-06,9.99,16200,Last Day of Work
Racing,Death Track®: Resurrection,2009-05-06,2.99,7840,Sky Fallen
"RPG, Strategy",Freedom Force vs. the Third Reich,2005-03-08,4.99,8890,Irrational Games
"RPG, Strategy",Freedom Force,2002-03-26,4.99,8880,Irrational Games
"Indie, Simulation, Strategy",Light of Altair,2009-06-04,14.99,34500,SaintXi
"Action, Simulation",Darkest Hour: Europe '44-'45,2009-06-09,Free,1280,Darklight Games
"Action, Adventure",Prototype™,2009-06-10,19.99,10150,Radical Entertainment
"Adventure, Indie",Blueberry Garden,,4.99,29160,Erik Svedäng
Strategy,Port Royale 2,2004-04-30,4.99,12470,Ascaron Entertainment ltd.
RPG,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,14.99,22330,Bethesda Game Studios
RPG,The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,14.99,22320,Bethesda Game Studios
Adventure,Ankh 2: Heart of Osiris,2007-05-18,4.99,12440,Deck 13
Simulation,Armored Fist 3,1999-09-01,9.99,32710,NovaLogic
Simulation,MiG-29 Fulcrum,1998-09-07,9.99,32740,NovaLogic
Strategy,BC Kings,2008-09-15,4.99,12460,Mascot Entertainment
Action,Call of Juarez®: Bound in Blood,2009-06-30,9.99,21980,Techland
Adventure,Nancy Drew®: Legend of the Crystal Skull,2007-10-01,6.99,31860,HeR Interactive
Adventure,Nancy Drew®: The Creature of Kapu Cave,2006-10-01,6.99,31900,HeR Interactive
Adventure,Nancy Drew®: The Phantom of Venice,2008-07-01,6.99,31920,HeR Interactive
Adventure,Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,6.99,31930,HeR Interactive
"Casual, Indie",BRAINPIPE: A Plunge to Unhumanity,2008-12-24,Free to Play,35800,Digital Eel
Adventure,Tales of Monkey Island Complete Pack,2009-07-07,19.99,31170,Telltale Games
Action,Street Fighter® IV,2009-07-07,19.99,21660,Capcom
"Action, Adventure, Racing, Simulation, Strategy",Thrillville®: Off the Rails™,2007-10-09,9.99,6080,Frontier
Adventure,Indiana Jones® and the Fate of Atlantis™,1992-06-01,5.99,6010,LucasArts
Action,Armed and Dangerous®,2003-12-02,5.99,6090,Planet Moon Studios
Action,"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,6060,Pandemic Studios
Adventure,Indiana Jones® and the Last Crusade™,1989-07-01,5.99,32310,LucasArts
"Action, Adventure",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,19.99,32330,Traveller's Tales
Adventure,The Secret of Monkey Island: Special Edition,2009-07-15,9.99,32360,LucasArts
Strategy,Warfare,2008-11-20,12.99,35300,GFI Russia
"Action, Racing",Clutch,2009-06-02,9.99,35310,Targem Games
Adventure,Nancy Drew®: Ransom of the Seven Ships,2009-07-21,6.99,31980,HeR Interactive
Sports,3D Ultra™ Minigolf Adventures,2006-12-20,9.99,10140,Wanako Games
Adventure,King's Quest™ Collection,2006-09-01,19.99,10100,Sierra
Action,TimeShift™,2007-10-30,19.99,10130,Saber Interactive
Adventure,Space Quest™ Collection,2006-09-01,19.99,10110,Sierra
Action,Killing Floor Outbreak Character Pack,2009-07-24,7.99,1256,Tripwire Interactive
"Action, Casual",Aces of the Galaxy™,2008-06-04,9.99,10120,Artech Studios
"Simulation, Strategy",Tropico Reloaded,2009-07-24,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
Casual,Mystery P.I. - Lost in Los Angeles,2009-07-27,4.99,3610,SpinTop Games
Action,Bionic Commando: Rearmed,2008-08-14,9.99,21680,Capcom
"Action, Adventure",Bionic Commando,2009-07-28,9.99,21670,Capcom
Action,Watchmen: The End is Nigh Part 2,2009-07-29,4.99,21030,Deadline Games
"Action, Indie",Foreign Legion: Buckets of Blood,2009-08-04,4.99,36000,Sakari Indie
"Adventure, RPG",STAR WARS™ - Knights of the Old Republic™,2003-11-19,9.99,32370,"BioWare,Aspyr (Mac)"
"Indie, Casual",Osmos,2009-08-18,9.99,29180,Hemisphere Games
RPG,Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,9.99,38410,Black Isle Studios
Strategy,Fallout Tactics: Brotherhood of Steel,2001-03-01,9.99,38420,14° East
Action,Kingpin — Life of Crime,1999-06-01,9.99,38430,Xatrix Entertainment
Adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,19.99,31180,Telltale Games
Casual,Jewel Quest Pack,2009-08-24,19.99,37960,iWin
Casual,Mahjong Quest Collection,2009-08-24,9.99,38000,iWin
"Adventure, Indie","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,4.99,37400,Size Five Games
Action,Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,9.99,13570,Ubisoft Montreal
Strategy,XIII Century – Gold Edition,2009-08-28,4.99,34420,Unicorn Games Studio
Simulation,World of Zoo,2009-10-30,14.99,43100,Blue Fang
"Action, Adventure",Mini Ninjas,2009-09-08,9.99,35000,IO Interactive
Casual,Freeze Tag Fun Pack #2,2009-09-23,19.99,39392,"Freeze Tag Inc.,iQ212"
Casual,Freeze Tag Fun Pack #1,1999-11-30,19.99,39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
"Adventure, Casual, Indie",Windosill,2009-05-26,2.99,37600,"Vectorpark, Inc."
Simulation,Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,24.99,24029,All Aboard
"Adventure, Casual",Midnight Mysteries,2009-09-28,9.99,32140,MumboJumbo
Adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,19.99,31190,Telltale Games
Action,Joint Operations: Combined Arms Gold,2009-08-18,19.99,32770,NovaLogic
Simulation,Train Simulator: US Loco &amp; Asset Pack,2009-10-01,17.99,208306,Dovetail Games
Simulation,DinerTown Tycoon,2009-09-30,9.99,37300,PlayFirst
Simulation,Train Simulator: European Loco &amp; Asset Pack,2009-10-01,19.99,208300,Dovetail Games
RPG,Risen,2009-10-30,9.99,40300,Piranha Bytes
Casual,Flora's Fruit Farm,2009-10-01,3.99,35070,Honeyslug
Strategy,Empire: Total War™ - The Warpath Campaign,2009-10-05,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
"Adventure, Indie",Machinarium,2009-10-16,9.99,40700,Amanita Design
Action,Medal of Honor: Airborne,2007-09-04,9.99,24840,EA Los Angeles
Racing,Need for Speed: Shift,2009-09-15,19.99,24870,Slightly Mad Studios
RPG,Torchlight,2009-10-27,14.99,41500,Runic Games
Strategy,Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,19.99,24800,EA Los Angeles
Strategy,The Stronghold Collection,2009-10-27,19.99,901735,FireFly Studios
Strategy,East India Company: Privateer,2009-10-27,4.99,42800,Nitro Games
Action,Painkiller: Resurrection,2009-10-27,9.99,39560,Homegrown Games
"RPG, Strategy",SpellForce 2 - Anniversary Edition,2009-10-29,14.99,39550,"Phenomic,THQ Nordic"
Adventure,Secret Files: Tunguska,2009-10-29,9.99,40330,Animation Arts
Strategy,Rush for Berlin Gold,2009-10-29,4.99,40320,Stormregion
Adventure,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,19.99,31200,Telltale Games
Strategy,Men of War: Red Tide,2009-11-01,4.99,3130,1C Company
"Action, Indie",Hammerfight,2009-09-19,4.99,41100,Konstantin Koshutin
"Action, RPG",SpellForce - Platinum Edition,2009-11-03,9.99,39540,Phenomic
Strategy,Massive Assault: Phantom Renaissance,2005-03-03,9.99,34640,Wargaming.net
Strategy,Massive Assault,2003-10-28,9.99,34630,Wargaming.net
"Action, Indie",Serious Sam HD: The First Encounter,2009-11-24,14.99,41000,Croteam
Adventure,Secret Files 2: Puritas Cordis,2009-10-29,9.99,40340,Animation Arts
RPG,Dragon Age: Origins,2009-11-06,19.99,17450,BioWare
"Action, RPG, Indie",Aztaka,2009-05-07,4.99,37100,Citeremis Inc.
"Indie, Casual",Magnetis,2009-11-05,1.99,37500,Yullaby
Strategy,For The Glory: A Europa Universalis Game,2009-11-11,9.99,42810,Crystal Empire Games
Action,Call of Duty®: Modern Warfare® 2,2009-11-12,19.99,10180,"Infinity Ward,Aspyr (Mac)"
Adventure,LEGO® Star Wars™ - The Complete Saga,2009-11-12,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
RPG,Overlord™,2007-06-26,4.99,11450,"Triumph Studios,Virtual Programming"
RPG,Overlord™: Raising Hell,2008-02-15,9.99,12710,"Triumph Studios,Virtual Programming"
Strategy,Command &amp; Conquer 3: Tiberium Wars,2007-03-28,14.99,24790,EA Los Angeles
"Indie, Casual",Yumsters 2: Around the World,2008-07-23,4.99,29120,KranX Productions
Strategy,Command &amp; Conquer 3: Kane's Wrath,2009-11-13,19.99,24810,EA Los Angeles
"Indie, Simulation, Strategy",Gratuitous Space Battles,2009-11-16,14.99,41800,Positech Games
Simulation,Wings of Prey,2009-12-25,9.99,45300,Gaijin Entertainment
"Action, Adventure, RPG",The Bard's Tale,2005-06-17,9.99,41900,inXile Entertainment
Action,Defence Alliance 2,2009-10-22,Free,35420,Defence Alliance Team
